#,NAME,,PSRJ,,RAJD,,DECJD,,P0,,,DIST,
150,J0340+4130,wmg+22,J0340+4130,wmg+22,55.09703317,4.5e-08,41.51258087,7.8e-08,0.003299339366490734,1.7e-17,abb+18,1.603,
151,J0341+5711,hrk+08,J0341+5711,hrk+08,55.25000,0,57.18333,0,1.888,0,hrk+08,2.037,
152,J0343+06,mgf+19,J0343+06,mgf+19,55.8,0.0e+00,6.0,-nan,1.00764,0.0e+00,mgf+19,3.774,
153,J0343-3000,bjd+06,J0343-3000,bjd+06,55.86642,1.2e-04,-30.00764,1.1e-04,2.59702715738,9.0e-11,bjd+06,1.594,
154,B0339+53,dth78,J0343+5312,dth78,55.80379,1.7e-04,53.21484,1.8e-04,1.934478067294,1.5e-11,hlk+04,1.705,
155,J0344-0901,clh+20,J0344-0901,clh+20,56.156129,8.3e-06,-9.01741,2.8e-05,1.226005572598,1.3e-11,clh+20,1.507,
156,J0348+0432,lbr+13,J0348+0432,lbr+13,57.181829167,1.7e-08,4.53651611,5.6e-08,0.0391226563571297,1.6e-15,cpb+23,2.100,
157,J0349+2340,scb+19,J0349+2340,scb+19,57.48908,1.7e-04,23.6814,5.6e-04,2.42077097760,4.0e-11,mbc+20,3.746,
158,J0355+28,mss+20,J0355+28,mss+20,58.8,0.0e+00,28.0,-nan,0.365,0.0e+00,mss+20,1.789,
159,J0357+3205,aaa+09c,J0357+3205,aaa+09c,59.4688,8.3e-04,32.0903,1.7e-03,0.4441044988,6.0e-10,rkp+11,0.835,
160,B0353+52,dtws85,J0357+5236,dtws85,59.4368346,8.3e-07,52.6159703,2.8e-07,0.1970300980314,3.0e-13,hlk+04,2.870,
161,J0358+4155,slr+14,J0358+4155,slr+14,59.513228,5.2e-06,41.921954,5.9e-06,0.2264843322519,3.0e-13,lsk+18,1.481,
162,B0355+54,mth72,J0358+5413,mth72,59.7238492,8.3e-07,54.2204956,8.3e-07,0.156384121559,8.0e-12,lwy+16,1.000,
163,J0358+6627,slr+14,J0358+6627,slr+14,59.658038,1.4e-05,66.462937,6.0e-06,0.09150578075475,1.7e-13,lsk+18,1.884,
164,J0359+5414,cwp+17,J0359+5414,cwp+17,59.85837,8.3e-05,54.24881,8.3e-05,0.0794272322920,1.3e-12,cwp+17,*,
165,B0403-76,mlt+78,J0401-7608,mlt+78,60.46563,4.2e-05,-76.136931,1.4e-05,0.54525418661,3.0e-11,lbs+20,1.014,
166,J0402+4825,ccl+21,J0402+4825,ccl+21,60.66930,3.8e-05,48.432642,1.9e-05,0.512194448731,3.0e-12,ccl+21,1.849,
167,J0405+3347,spp+23,J0405+3347,spp+23,61.373199,9.9e-06,33.78343,2.9e-05,0.0639539494812,1.7e-12,spp+23,1.655,
168,J0406+30,mss+20,J0406+30,mss+20,61.5,0.0e+00,30.0,-nan,0.0026,0.0e+00,mss+20,1.641,
169,B0402+61,dth78,J0406+6138,dth78,61.6253358,8.3e-07,61.6448356,2.8e-07,0.5945761650437,8.0e-13,ywml10,4.200,
170,J0407+1607,lxf+05,J0407+1607,lxf+05,61.978912,1.3e-05,16.12122,5.6e-05,0.02570173919463,2.0e-14,lxf+05,1.337,
171,J0408+551,hrk+08,J0408+551,hrk+08,62.00000,0,55.00000,0,1.837,0,hrk+08,1.573,
172,J0408+552,hrk+08,J0408+552,hrk+08,62.00000,0,55.00000,0,0.754,0,hrk+08,1.661,
173,J0410-31,bbj+11,J0410-31,bbj+11,62.66,1.4e-01,-31.12,1.2e-01,1.8785,2.0e-04,bbj+11,0.415,
174,J0413+58,hrk+08,J0413+58,hrk+08,63.25000,0,58.00000,0,0.687,0,hrk+08,1.630,
175,J0414+31,mss+20,J0414+31,mss+20,63.5,0.0e+00,31.0,-nan,1.081,0.0e+00,mss+20,1.842,
176,B0410+69,dtws85,J0415+6954,dtws85,63.981889,1.4e-05,69.902747,6.9e-06,0.3907150899386,3.0e-13,hlk+04,1.368,
177,J0417+35,cnst96,J0417+35,cnst96,64.43,6.7e-02,35.75,8.3e-02,0.65440,3.0e-05,cnst96,1.480,
178,J0417+61,slr+14,J0417+61,slr+14,64.2,7.5e-01,61.1,3.0e-01,0.440283,1.3e-05,slr+14,1.837,
